1830:	learn: 0.0715658	test: 0.0763762	best: 0.0763762 (1830)	total: 2m 48s	remaining: 15.5s
1840:	learn: 0.0715323	test: 0.0763759	best: 0.0763759 (1840)	total: 2m 49s	remaining: 14.6s
1850:	learn: 0.0715049	test: 0.0763726	best: 0.0763726 (1850)	total: 2m 50s	remaining: 13.7s
1860:	learn: 0.0714563	test: 0.0763491	best: 0.0763491 (1860)	total: 2m 50s	remaining: 12.8s
1870:	learn: 0.0714009	test: 0.0763178	best: 0.0763178 (1870)	total: 2m 51s	remaining: 11.9s
1880:	learn: 0.0713745	test: 0.0763164	best: 0.0763164 (1880)	total: 2m 52s	remaining: 10.9s
1890:	learn: 0.0713503	test: 0.0763234	best: 0.0763164 (1880)	total: 2m 53s	remaining: 10s
1900:	learn: 0.0713091	test: 0.0763051	best: 0.0763051 (1900)	total: 2m 54s	remaining: 9.1s
1910:	learn: 0.0712777	test: 0.0763040	best: 0.0763040 (1910)	total: 2m 55s	remaining: 8.18s
1920:	learn: 0.0712478	test: 0.0762959	best: 0.0762959 (1920)	total: 2m 56s	remaining: 7.26s
1930:	learn: 0.0712225	test: 0.0762954	best: 0.0762954 (1930)	total: 2m 57s	remaining: 6.34s
1940:	learn: 0.0711824	test: 0.0762947	best: 0.0762947 (1940)	total: 2m 58s	remaining: 5.42s
1950:	learn: 0.0711506	test: 0.0762986	best: 0.0762947 (1940)	total: 2m 59s	remaining: 4.5s
1960:	learn: 0.0710890	test: 0.0762727	best: 0.0762727 (1960)	total: 3m	remaining: 3.58s
1970:	learn: 0.0710572	test: 0.0762577	best: 0.0762577 (1970)	total: 3m 1s	remaining: 2.66s
1980:	learn: 0.0710238	test: 0.0762504	best: 0.0762504 (1980)	total: 3m 1s	remaining: 1.75s
1990:	learn: 0.0710006	test: 0.0762540	best: 0.0762504 (1980)	total: 3m 2s	remaining: 827ms
1999:	learn: 0.0709758	test: 0.0762482	best: 0.0762482 (1999)	total: 3m 3s	remaining: 0us

bestTest = 0.07624824232
bestIteration = 1999

